GUID	| Time
612	|1,766707
613	|1,63281
614	|1,651545
615	|1,70609
616	|1,667085
617	|1,799637
618	|1,691592
619	|1,691487
620	|1,732209
621	|1,799775
622	|1,749457
623	|1,67458
624	|1,716305
625	|1,750044
626	|1,732437
627	|1,666613
628	|1,609129
629	|1,683093
630	|2,097294
631	|1,700405
632	|1,699701
633	|1,699089
634	|1,64238
635	|1,765917
636	|1,649579
637	|1,625796
638	|1,724324
639	|1,724332
640	|1,750156
641	|1,72433
642	|1,674744
643	|1,658764
644	|1,707825
645	|1,840392
646	|1,701479
647	|1,682789
648	|1,756641
649	|1,683938
650	|1,765774
651	|1,658328
652	|1,665967
653	|1,791115
654	|1,716701
655	|1,774047
656	|1,765912
657	|1,667266
658	|1,790247
659	|1,733553
660	|1,657929
661	|1,749521
662	|1,724494
663	|1,766454
664	|1,774672
665	|1,773494
666	|1,775107
667	|1,774315
668	|1,740944
669	|1,741377
670	|1,683455
671	|1,740829
672	|1,759213
673	|1,756447
674	|1,724703
675	|1,716966
676	|1,723993
677	|1,708547
678	|1,732333
679	|1,675214
680	|1,708325
681	|1,73249
682	|1,783035
683	|1,782719
684	|1,62481
685	|1,656548
686	|1,701358
687	|1,733006
688	|1,725561
689	|1,632441
690	|1,692196
691	|2,064237
692	|1,749217
693	|1,700311
694	|1,649453
695	|1,725459
696	|1,707961
697	|1,707357
698	|1,674967
699	|1,650474
700	|1,690971
701	|1,749448
702	|1,880397
703	|1,734656
704	|1,700033
705	|1,658867
706	|1,748868
707	|1,683193
708	|1,683795
709	|1,740465
710	|1,757956
711	|2,288533
712	|1,699771
713	|1,716607
714	|1,733907
715	|1,739966
716	|1,774558
717	|1,650063
718	|1,757981
719	|1,716716
720	|1,724416
721	|1,782327
722	|1,725255
723	|1,674805
724	|1,766752
725	|1,824455
726	|1,58206
727	|1,699806
728	|1,783545
729	|1,748598
730	|1,733053
731	|2,272588
732	|1,649377
733	|1,650264
734	|1,692413
735	|1,723338
736	|1,642508
737	|1,707592
738	|1,707889
739	|1,741819
740	|1,674389
741	|1,691197
742	|1,692503
743	|1,715605
744	|1,757655
745	|1,684372
746	|1,665435
747	|1,759089
748	|1,707558
749	|1,682402
750	|1,683331
751	|1,700198
752	|1,92319
753	|1,757765
754	|1,716963
755	|1,632809
756	|1,725063
757	|1,700014
758	|1,748707
759	|1,650133
760	|1,781463
761	|1,750623
762	|1,717107
763	|1,666127
764	|1,649704
765	|1,73292
766	|1,708665
767	|1,723961
768	|1,758427
769	|1,716067
770	|1,757541
771	|2,145468
772	|1,983859
773	|1,683249
774	|1,725514
775	|1,707218
776	|1,741032
777	|1,842185
778	|1,706757
779	|1,774955
780	|1,757229
781	|1,724734
782	|1,732844
783	|1,759004
784	|1,690454
785	|1,741377
786	|1,733173
787	|1,700459
788	|1,698817
789	|1,700023
790	|1,707613
791	|1,958871
792	|1,930358
793	|1,666232
794	|1,799828
795	|1,724064
796	|1,790787
797	|1,692781
798	|1,665513
799	|1,732696
800	|1,675529
801	|1,748791
802	|1,65085
803	|1,757781
804	|1,765421
805	|1,699811
806	|1,650044
807	|1,691615
808	|1,683098
809	|1,725191
810	|1,757489
811	|1,699644
812	|1,998054
813	|1,667296
814	|1,773757
815	|1,880082
816	|1,67722
817	|1,674958
818	|1,757583
819	|1,74129
820	|1,741195
821	|1,699721
822	|1,716499
823	|1,757649
824	|1,633962
825	|1,666039
826	|1,749491
827	|1,733531
828	|1,757753
829	|1,782232
830	|1,684577
831	|1,723126
832	|2,493895
833	|1,77636
834	|1,683955
835	|1,707446
836	|1,683078
837	|1,75848
838	|1,740609
839	|1,76669
840	|1,724106
841	|1,741027
842	|1,766773
843	|1,691142
844	|1,724273
845	|1,71708
846	|1,790619
847	|1,757364
848	|1,775148
849	|1,717057
850	|1,72344
851	|2,222974
852	|1,947872
853	|1,691284
854	|1,667512
855	|1,723788
856	|1,749878
857	|1,72434
858	|1,67487
859	|1,758108
860	|1,691224
861	|1,707998
862	|1,658266
863	|1,783647
864	|1,698818
865	|1,741223
866	|1,932246
867	|1,625001
868	|1,707916
869	|1,733452
870	|1,716449
871	|2,102356
872	|2,009832
873	|1,70823
874	|1,758121
875	|1,707518
876	|1,74164
877	|1,649701
878	|1,749498
879	|1,749943
880	|1,699442
881	|1,683611
882	|1,773615
883	|1,751076
884	|1,733193
885	|1,706479
886	|1,765573
887	|1,692604
888	|1,748484
889	|1,783848
890	|1,658112
891	|2,236589
892	|1,999765
893	|1,758757
894	|1,757266
895	|1,740953
896	|1,692219
897	|1,740868
898	|1,815553
899	|1,683701
900	|1,72436
901	|1,757542
902	|1,758579
903	|1,871158
904	|1,718531
905	|1,6755
906	|1,798706
907	|1,683362
908	|1,701241
909	|1,764412
910	|1,69154
911	|1,750073
912	|1,757689
913	|1,782427
914	|2,081164
915	|1,782527
916	|1,741447
917	|1,757816
918	|1,624863
919	|1,716977
920	|1,806394
921	|1,708622
922	|1,774808
923	|1,641391
924	|1,707959
925	|1,725243
926	|1,757656
927	|1,715903
928	|1,749668
929	|1,699602
930	|1,716891
931	|1,732907
932	|1,864985
933	|1,675684
934	|1,666492
935	|1,732844
936	|1,725121
937	|1,715755
938	|1,765711
939	|1,783287
940	|1,691072
941	|1,732808
942	|1,658092
943	|1,700498
944	|1,724444
945	|1,732537
946	|1,733844
947	|1,67448
948	|1,724119
949	|1,717722
950	|1,715138
951	|1,733052
952	|1,948807
953	|1,724177
954	|1,791185
955	|1,783683
956	|1,682178
957	|1,724521
958	|1,692106
959	|1,765611
960	|1,70805
961	|1,68371
962	|1,740597
963	|1,799857
964	|1,700306
965	|1,707315
966	|1,749082
967	|1,725796
968	|1,731721
969	|1,774365
970	|1,667314
971	|1,641199
972	|2,352726
973	|1,669428
974	|1,699224
975	|1,716284
976	|1,708685
977	|1,68271
978	|1,766444
979	|1,64129
980	|1,658285
981	|1,675408
982	|1,699563
983	|1,716051
984	|1,67554
985	|1,690759
986	|1,749537
987	|1,708556
988	|1,707571
989	|1,667137
990	|1,630561
991	|1,726838
992	|1,832618
993	|1,725543
994	|1,657154
995	|1,716613
996	|1,63391
997	|1,723934
998	|1,708185
999	|1,70067
1000	|1,789819
1001	|1,741239
1002	|1,791772
1003	|1,682465
1004	|1,758114
1005	|1,699623
1006	|1,774358
1007	|1,77434
1008	|1,749772
1009	|1,732608
1010	|1,757969
1011	|1,799622
1012	|1,776883
1013	|1,971097
1014	|1,82291
1015	|1,750286
1016	|1,725412
1017	|1,790078
1018	|1,708636
1019	|1,782221
1020	|1,790867
1021	|1,750201
1022	|1,773676
1023	|1,775224
1024	|1,723907
1025	|1,782823
1026	|1,642391
1027	|1,814548
1028	|1,725815
1029	|1,709249
1030	|1,806364
1031	|1,675072
1032	|1,741732
1033	|1,991675
1034	|1,722196
1035	|1,683401
1036	|1,732216
1037	|1,708699
1038	|1,823322
1039	|1,709861
1040	|1,673955
1041	|1,690886
1042	|1,83178
1043	|1,667607
1044	|1,765563
1045	|1,749852
1046	|1,708027
1047	|1,73261
1048	|1,708274
1049	|1,741358
1050	|1,674752
1051	|1,749998
1052	|1,865944
1053	|2,00563
1054	|1,70868
1055	|1,807141
1056	|1,749405
1057	|1,716917
1058	|1,823453
1059	|1,667948
1060	|1,698579
1061	|1,741049
1062	|1,766845
1063	|1,766161
1064	|1,765484
1065	|1,700379
1066	|1,799297
1067	|1,748981
1068	|1,675424
1069	|1,765377
1070	|1,700274
1071	|1,758032
1072	|1,782673
1073	|1,906998
1074	|1,724675
1075	|1,815532
1076	|1,807474
1077	|1,758285
1078	|1,724054
1079	|1,700513
1080	|1,740652
1081	|1,749212
1082	|1,675543
1083	|1,682692
1084	|1,708764
1085	|1,707496
1086	|1,757797
1087	|1,633952
1088	|1,790102
1089	|1,708611
1090	|1,766353
