GUID	|Time
649	|1,995485
650	|1,810235
651	|1,915991
652	|1,873771
653	|1,773611
654	|1,882123
655	|1,782845
656	|1,757487
657	|1,807605
658	|1,781999
659	|1,874382
660	|1,799009
661	|1,832524
662	|1,824491
663	|1,815472
664	|1,782426
665	|1,774239
666	|1,798921
667	|1,691776
668	|1,757647
669	|1,732821
670	|1,865458
671	|1,824074
672	|1,857378
673	|1,815709
674	|1,857373
675	|1,790707
676	|1,824172
677	|2,070762
678	|2,000242
679	|1,799082
680	|1,849134
681	|1,782453
682	|1,766308
683	|1,749101
684	|1,824191
685	|1,873993
686	|1,807102
687	|1,832398
688	|1,890536
689	|1,882053
690	|1,782558
691	|1,783056
692	|1,773914
693	|1,824229
694	|1,857229
695	|1,798972
696	|2,167293
697	|2,086316
698	|1,815816
699	|1,791028
700	|1,906958
701	|1,848895
702	|1,823999
703	|1,82416
704	|1,721755
705	|1,901516
706	|1,907098
707	|1,799349
708	|1,749147
709	|1,74933
710	|1,799137
711	|1,824239
712	|1,873948
713	|1,906872
714	|1,80735
715	|2,042888
716	|2,069653
717	|1,848952
718	|1,86558
719	|1,898721
720	|1,857795
721	|1,815181
722	|1,849
723	|1,890429
724	|1,799518
725	|1,74087
726	|1,790988
727	|1,757478
728	|1,815804
729	|1,807512
730	|1,774361
731	|1,807657
732	|1,857141
733	|1,840481
734	|1,880059
735	|2,05834
736	|1,725036
737	|1,865222
738	|1,798967
739	|1,691391
740	|1,732669
741	|1,74125
742	|1,832568
743	|1,840521
744	|1,81568
745	|1,865813
746	|1,816292
747	|1,865283
748	|1,823629
749	|1,790773
750	|1,832304
751	|1,882103
752	|1,766042
753	|2,338514
754	|1,964868
755	|1,832441
756	|1,749352
757	|1,782809
758	|1,832193
759	|1,898927
760	|1,84045
761	|1,799285
762	|1,799148
763	|1,89033
764	|1,932135
765	|1,898974
766	|1,866549
767	|1,830685
768	|1,774875
769	|1,865326
770	|1,881904
771	|1,931946
772	|1,898803
773	|1,765946
774	|1,807374
775	|1,865157
776	|1,849773
777	|1,945561
778	|1,901374
779	|1,85705
780	|1,841092
